population,price,income,employment,poverty,area,tract
2993,315700,58637,67.6,228,141,"Census Tract 1200.10, Los Angeles County, California"
5231,483300,42149,66.9,1017,142,"Census Tract 1200.20, Los Angeles County, California"
2930,0,36672,65.1,498,143,"Census Tract 1200.30, Los Angeles County, California"
3497,603800,31623,69.5,716,144,"Census Tract 1201.03, Los Angeles County, California"
2674,389700,45422,70.5,533,145,"Census Tract 1201.04, Los Angeles County, California"
2991,447300,41293,60.8,433,146,"Census Tract 1201.05, Los Angeles County, California"
4331,462500,42435,73,795,147,"Census Tract 1201.06, Los Angeles County, California"
3742,409200,34280,65.6,955,148,"Census Tract 1201.07, Los Angeles County, California"
4613,269000,41817,66,730,149,"Census Tract 1201.08, Los Angeles County, California"
5439,380500,70505,70.1,223,150,"Census Tract 1203, Los Angeles County, California"
6883,417900,50230,66.7,893,151,"Census Tract 1204, Los Angeles County, California"
4989,407300,76881,66.1,435,152,"Census Tract 1210.10, Los Angeles County, California"
3364,484200,60141,60.6,372,153,"Census Tract 1210.20, Los Angeles County, California"
3039,392900,57666,72.6,370,154,"Census Tract 1211.01, Los Angeles County, California"
2559,525700,88135,66.7,238,155,"Census Tract 1211.02, Los Angeles County, California"
2858,349100,60290,54.5,306,156,"Census Tract 1212.10, Los Angeles County, California"
2135,384100,65434,63.7,157,157,"Census Tract 1212.21, Los Angeles County, California"
4537,468200,48023,64,584,158,"Census Tract 1212.22, Los Angeles County, California"
2902,521600,96425,65.3,158,159,"Census Tract 1216, Los Angeles County, California"
3761,316300,46847,75,523,160,"Census Tract 1218.01, Los Angeles County, California"
3297,404200,66535,63.4,572,161,"Census Tract 1218.02, Los Angeles County, California"
4210,400400,65067,65.9,246,162,"Census Tract 1219, Los Angeles County, California"
5595,460300,67053,62,492,163,"Census Tract 1220, Los Angeles County, California"
4956,391700,57768,68,352,164,"Census Tract 1221.20, Los Angeles County, California"
3034,432100,55310,63.7,342,165,"Census Tract 1221.21, Los Angeles County, California"
2118,390600,41586,63.8,303,166,"Census Tract 1221.22, Los Angeles County, California"
4230,466500,57291,63.7,446,167,"Census Tract 1222, Los Angeles County, California"
3679,176300,35302,66.8,632,168,"Census Tract 1224.10, Los Angeles County, California"
5029,450300,52321,69.7,729,169,"Census Tract 1224.20, Los Angeles County, California"
4713,374700,54925,69.1,671,170,"Census Tract 1230.10, Los Angeles County, California"
3395,370300,62231,69.2,351,171,"Census Tract 1230.20, Los Angeles County, California"
4587,374800,59377,71.8,252,172,"Census Tract 1231.03, Los Angeles County, California"
4346,460600,56468,70,586,173,"Census Tract 1231.04, Los Angeles County, California"
3839,319700,39518,70.4,423,174,"Census Tract 1232.03, Los Angeles County, California"
3378,353800,47358,73.1,562,175,"Census Tract 1232.04, Los Angeles County, California"
2914,440200,49664,65.9,387,176,"Census Tract 1232.05, Los Angeles County, California"
2752,395500,42747,67.8,451,177,"Census Tract 1232.06, Los Angeles County, California"
4553,386100,67612,70.7,309,178,"Census Tract 1233.01, Los Angeles County, California"
3381,397600,56442,64.1,396,179,"Census Tract 1233.03, Los Angeles County, California"
