GEO.id,GEO.id2,GEO.display-label,D001
Id,Id2,Geography,Total
1580000US0644000037113101,0644000037113101,"Census Tract 1131.01, Los Angeles County (part), Los Angeles city, California",3558
1580000US0644000037113102,0644000037113102,"Census Tract 1131.02, Los Angeles County (part), Los Angeles city, California",2828
1580000US0644000037113211,0644000037113211,"Census Tract 1132.11, Los Angeles County (part), Los Angeles city, California",3787
1580000US0644000037113212,0644000037113212,"Census Tract 1132.12, Los Angeles County (part), Los Angeles city, California",3069
1580000US0644000037113213,0644000037113213,"Census Tract 1132.13, Los Angeles County (part), Los Angeles city, California",4316
1580000US0644000037113231,0644000037113231,"Census Tract 1132.31 (part), Los Angeles County (part), Los Angeles city, California",2113
1580000US0644000037113232,0644000037113232,"Census Tract 1132.32, Los Angeles County (part), Los Angeles city, California",3894
1580000US0644000037113233,0644000037113233,"Census Tract 1132.33, Los Angeles County (part), Los Angeles city, California",6655
1580000US0644000037113234,0644000037113234,"Census Tract 1132.34, Los Angeles County (part), Los Angeles city, California",4667
1580000US0644000037113235,0644000037113235,"Census Tract 1132.35 (part), Los Angeles County (part), Los Angeles city, California",10
1580000US0644000037113237,0644000037113237,"Census Tract 1132.37, Los Angeles County (part), Los Angeles city, California",3661
1580000US0644000037113301,0644000037113301,"Census Tract 1133.01, Los Angeles County (part), Los Angeles city, California",2201
1580000US0644000037113303,0644000037113303,"Census Tract 1133.03, Los Angeles County (part), Los Angeles city, California",4006
1580000US0644000037113321,0644000037113321,"Census Tract 1133.21, Los Angeles County (part), Los Angeles city, California",5473
1580000US0644000037113322,0644000037113322,"Census Tract 1133.22, Los Angeles County (part), Los Angeles city, California",3947
1580000US0644000037113401,0644000037113401,"Census Tract 1134.01, Los Angeles County (part), Los Angeles city, California",5543
1580000US0644000037113421,0644000037113421,"Census Tract 1134.21, Los Angeles County (part), Los Angeles city, California",6109
1580000US0644000037113422,0644000037113422,"Census Tract 1134.22, Los Angeles County (part), Los Angeles city, California",6057
1580000US0644000037115101,0644000037115101,"Census Tract 1151.01, Los Angeles County (part), Los Angeles city, California",5046
1580000US0644000037115103,0644000037115103,"Census Tract 1151.03, Los Angeles County (part), Los Angeles city, California",2776
1580000US0644000037115104,0644000037115104,"Census Tract 1151.04, Los Angeles County (part), Los Angeles city, California",4444
1580000US0644000037115201,0644000037115201,"Census Tract 1152.01, Los Angeles County (part), Los Angeles city, California",6437
1580000US0644000037115202,0644000037115202,"Census Tract 1152.02, Los Angeles County (part), Los Angeles city, California",4828
1580000US0644000037115301,0644000037115301,"Census Tract 1153.01, Los Angeles County (part), Los Angeles city, California",4156
1580000US0644000037115302,0644000037115302,"Census Tract 1153.02, Los Angeles County (part), Los Angeles city, California",4351
1580000US0644000037115401,0644000037115401,"Census Tract 1154.01, Los Angeles County (part), Los Angeles city, California",5776
1580000US0644000037115403,0644000037115403,"Census Tract 1154.03, Los Angeles County (part), Los Angeles city, California",3188
1580000US0644000037115404,0644000037115404,"Census Tract 1154.04, Los Angeles County (part), Los Angeles city, California",2913
1580000US0644000037117101,0644000037117101,"Census Tract 1171.01, Los Angeles County (part), Los Angeles city, California",4796
1580000US0644000037117102,0644000037117102,"Census Tract 1171.02, Los Angeles County (part), Los Angeles city, California",2631
1580000US0644000037117201,0644000037117201,"Census Tract 1172.01, Los Angeles County (part), Los Angeles city, California",4352
1580000US0644000037117202,0644000037117202,"Census Tract 1172.02, Los Angeles County (part), Los Angeles city, California",2471
1580000US0644000037117301,0644000037117301,"Census Tract 1173.01, Los Angeles County (part), Los Angeles city, California",3851
1580000US0644000037117302,0644000037117302,"Census Tract 1173.02, Los Angeles County (part), Los Angeles city, California",4914
1580000US0644000037117303,0644000037117303,"Census Tract 1173.03, Los Angeles County (part), Los Angeles city, California",3512
1580000US0644000037117404,0644000037117404,"Census Tract 1174.04, Los Angeles County (part), Los Angeles city, California",4279
1580000US0644000037117405,0644000037117405,"Census Tract 1174.05, Los Angeles County (part), Los Angeles city, California",3442
1580000US0644000037117407,0644000037117407,"Census Tract 1174.07, Los Angeles County (part), Los Angeles city, California",3636
1580000US0644000037117408,0644000037117408,"Census Tract 1174.08, Los Angeles County (part), Los Angeles city, California",2830
1580000US0644000037117510,0644000037117510,"Census Tract 1175.10, Los Angeles County (part), Los Angeles city, California",4028
